Record_ID,City,Month,Temperature_C,Humidity_pct,Pressure_hPa,Wind_Speed_kmph,Cloud_Cover_pct,Visibility_km,Rainfall_mm,Weather_Condition,Rain_Tomorrow
57,Ahmedabad,11,8.9,79,995.4,14.4,6,5.0,0,Sunny,1
58,Lucknow,5,33.6,78,1000.1,3.4,2,11.6,5.4,Sunny,1
59,Hyderabad,4,30.1,30,1020.2,28.5,25,12.8,0,Sunny,0
60,Mumbai,10,40.2,84,1018.0,23.2,21,9.7,0,Sunny,0
61,Mumbai,3,40.8,38,1013.1,27.9,73,10.6,7.9,Cloudy,0
62,Mumbai,10,31.5,56,994.1,23.4,87,9.6,1.7,Cloudy,1
63,Ahmedabad,1,19.8,79,1016.5,3.0,82,6.1,8.4,Cloudy,1
64,Hyderabad,11,38.3,83,1018.3,13.6,93,8.5,0,Cloudy,0
65,Ahmedabad,9,34.3,84,1007.4,22.2,34,5.9,0.8,Sunny,1
66,Jaipur,4,33.5,97,1014.4,12.0,3,8.2,12.2,Stormy,1
67,Chennai,6,35.1,68,1001.2,18.3,35,9.0,0,Sunny,1
68,Lucknow,8,26.9,55,1017.6,19.7,62,7.6,2.7,Partly Cloudy,1
69,Kolkata,4,21.7,56,1002.2,17.9,60,9.0,0,Partly Cloudy,0
70,Hyderabad,12,23.4,64,1000.1,4.5,24,5.8,14.5,Rainy,1
71,Jaipur,5,32.6,92,1013.9,29.4,24,5.5,0,Sunny,0
72,Bengaluru,5,9.5,31,1012.1,21.2,16,10.1,3.8,Sunny,0
73,Mumbai,1,27.5,85,1009.1,10.9,6,4.9,2.1,Sunny,1
74,Jaipur,2,27.6,31,996.1,24.5,38,2.6,0,Partly Cloudy,1
75,Pune,7,28.6,53,1021.0,12.0,56,5.5,0,Partly Cloudy,0
76,Delhi,10,40.6,37,1027.9,7.0,27,5.1,0,Sunny,1
77,Chennai,3,26.8,45,990.1,14.1,76,7.8,7.0,Cloudy,1
78,Jaipur,2,31.4,58,1021.5,19.1,84,12.4,3.8,Cloudy,1
79,Mumbai,9,15.6,44,1026.3,25.0,9,2.3,2.3,Sunny,0
80,Kolkata,8,12.2,63,1018.0,28.3,64,8.8,0,Partly Cloudy,0
81,Ahmedabad,1,38.2,66,1014.1,1.8,29,14.5,3.9,Sunny,0
82,Kolkata,10,9.4,47,1008.8,19.9,35,4.0,0,Sunny,0
83,Jaipur,2,24.0,77,1003.3,20.4,20,6.0,0,Sunny,0
84,Pune,1,23.5,65,1000.1,4.4,98,7.0,0,Cloudy,1
85,Delhi,11,37.6,84,1006.5,6.4,46,9.9,0,Partly Cloudy,1
86,Kolkata,9,12.5,61,1007.5,21.2,15,1.9,0.6,Sunny,0
87,Chennai,12,13.4,95,990.5,12.8,28,14.9,5.3,Sunny,1
88,Bengaluru,8,39.7,62,1010.4,8.9,61,14.7,0.1,Partly Cloudy,1
89,Pune,3,21.0,90,1019.9,5.0,8,5.2,1.8,Sunny,0
90,Pune,5,35.9,61,1019.0,25.3,74,15.0,0,Cloudy,0
91,Bengaluru,8,26.3,69,1003.3,23.1,48,7.6,0,Partly Cloudy,0
92,Ahmedabad,7,15.9,77,991.7,22.6,90,13.8,5.9,Cloudy,1
93,Bengaluru,8,40.8,41,1010.1,18.1,12,13.3,0,Sunny,0
94,Bengaluru,7,37.6,44,993.0,23.7,33,6.1,2.7,Sunny,0
95,Mumbai,6,37.0,93,1005.2,10.2,91,13.5,0,Cloudy,0
96,Chennai,11,31.3,61,1029.9,22.7,55,14.7,1.0,Partly Cloudy,0
97,Mumbai,8,13.7,63,1026.1,2.3,7,5.5,0,Sunny,0
98,Ahmedabad,11,34.9,46,997.0,18.7,48,9.9,2.5,Partly Cloudy,1
99,Ahmedabad,3,15.9,57,1008.4,20.3,59,13.7,1.7,Partly Cloudy,0
100,Hyderabad,10,18.2,79,1017.6,14.2,38,4.2,0,Partly Cloudy,1
101,Jaipur,2,16.1,98,1004.4,9.6,89,5.5,10.3,Cloudy,1
102,Ahmedabad,11,34.5,31,1026.4,22.6,36,12.0,0,Partly Cloudy,0
103,Hyderabad,4,29.6,57,1017.1,21.9,84,10.7,4.5,Cloudy,0
104,Delhi,5,34.8,29,1013.2,22.2,11,13.8,2.2,Sunny,0
105,Lucknow,3,14.8,94,1025.1,11.6,64,13.8,4.9,Partly Cloudy,0
106,Jaipur,5,33.4,68,1022.2,14.6,9,3.4,0,Sunny,0
107,Lucknow,9,20.4,75,990.6,16.6,58,6.5,3.0,Partly Cloudy,1
108,Hyderabad,2,30.9,85,991.0,26.6,71,5.9,0,Cloudy,0
109,Mumbai,11,36.0,63,1016.0,4.4,5,14.3,0,Sunny,1
110,Pune,3,21.2,72,1016.8,22.6,69,7.2,8.5,Partly Cloudy,0
111,Bengaluru,7,30.3,87,1014.6,28.2,35,1.9,0,Foggy,0
112,Hyderabad,2,41.4,72,1011.8,29.4,45,2.3,4.4,Partly Cloudy,1
113,Mumbai,8,11.1,52,1015.7,18.3,2,2.2,0,Sunny,0
114,Chennai,2,36.2,95,998.3,7.3,29,5.9,13.5,Rainy,0
115,Ahmedabad,1,17.4,43,1029.5,16.7,22,3.0,2.3,Sunny,0
116,Chennai,10,19.0,47,1000.6,4.7,53,8.6,0,Partly Cloudy,0
117,Jaipur,8,34.5,90,1013.7,14.1,28,14.3,8.9,Sunny,0
118,Pune,5,23.6,28,992.4,14.9,51,7.3,2.9,Partly Cloudy,1
119,Jaipur,2,38.6,66,1014.3,2.9,35,9.9,0,Sunny,0
120,Ahmedabad,9,18.0,89,1014.2,3.9,89,3.0,0,Foggy,0
121,Pune,12,37.4,80,1008.1,7.6,43,12.7,0,Partly Cloudy,1
122,Hyderabad,11,16.7,44,1017.5,14.8,11,12.7,5.3,Sunny,1
123,Mumbai,12,33.1,41,1012.3,18.0,71,9.1,0.5,Cloudy,0
124,Lucknow,12,9.7,61,1014.0,11.2,73,8.4,0,Cloudy,1
125,Jaipur,4,36.8,69,1023.8,11.7,97,5.3,3.8,Cloudy,1
126,Ahmedabad,10,30.9,96,991.1,27.9,88,5.1,8.2,Cloudy,1
127,Kolkata,6,19.9,48,1024.8,17.4,51,2.4,0,Partly Cloudy,1
128,Pune,4,20.8,83,1003.6,11.7,92,5.9,0,Cloudy,0
129,Ahmedabad,2,38.0,44,996.3,18.9,86,2.6,0,Cloudy,0
130,Lucknow,5,15.3,90,994.6,13.5,36,10.7,2.3,Partly Cloudy,0
131,Pune,11,18.5,53,1005.8,18.4,0,4.3,8.5,Sunny,0
132,Kolkata,6,12.1,88,1019.9,6.1,48,8.7,0,Partly Cloudy,1
133,Pune,11,35.4,34,1005.9,22.5,55,1.8,9.3,Partly Cloudy,0
134,Ahmedabad,7,32.1,78,1001.6,12.7,41,3.8,0,Partly Cloudy,0
135,Jaipur,12,39.3,36,1007.5,4.1,55,9.4,0,Partly Cloudy,0
136,Hyderabad,4,19.3,46,993.1,19.4,67,8.4,2.2,Partly Cloudy,0
137,Hyderabad,6,32.7,43,999.5,5.2,25,3.8,5.3,Sunny,1
138,Jaipur,8,33.7,82,1017.2,26.6,82,10.1,9.9,Cloudy,1
139,Hyderabad,3,23.0,85,1007.7,9.8,35,9.5,0,Sunny,0
140,Delhi,1,20.5,61,993.1,26.1,11,9.8,2.1,Sunny,0
141,Jaipur,10,26.8,30,1008.0,24.5,83,4.0,0,Cloudy,0
142,Jaipur,2,35.6,68,1029.3,3.4,82,3.8,0,Cloudy,1
143,Jaipur,8,25.8,45,1004.6,27.6,49,7.0,0,Partly Cloudy,0
144,Hyderabad,2,19.2,96,1017.1,9.2,92,13.0,8.7,Cloudy,0
145,Ahmedabad,3,19.3,43,1026.7,10.0,83,10.9,0,Cloudy,0
146,Kolkata,9,20.8,67,1022.5,20.4,94,15.0,7.2,Cloudy,0
147,Mumbai,11,30.8,90,1004.5,11.5,23,14.3,0,Sunny,1
148,Bengaluru,3,10.6,37,1010.3,16.7,94,13.4,10.1,Cloudy,1
149,Hyderabad,10,12.5,73,996.2,6.2,88,11.9,4.1,Cloudy,1
150,Lucknow,6,31.0,55,1028.8,18.7,96,11.6,0.2,Cloudy,1
151,Pune,4,18.5,85,1026.2,6.6,86,14.3,8.5,Cloudy,1
152,Lucknow,9,25.9,45,1022.7,24.2,17,13.3,0,Sunny,1
153,Jaipur,6,26.9,38,1018.5,16.0,15,5.3,0.8,Sunny,0
154,Bengaluru,7,11.1,53,1022.7,26.7,3,7.1,0,Sunny,0
155,Hyderabad,4,21.1,35,1005.0,1.8,12,12.8,0,Sunny,1
156,Kolkata,8,31.7,42,1020.4,14.6,78,1.6,0,Cloudy,1
157,Kolkata,4,36.4,95,1027.6,18.7,54,3.0,0,Foggy,1
158,Lucknow,11,35.0,83,992.5,25.3,63,9.6,7.1,Partly Cloudy,1
159,Pune,10,16.2,43,1001.7,1.0,45,4.7,0,Partly Cloudy,1
160,Hyderabad,2,40.4,94,1010.3,29.7,70,1.8,6.7,Foggy,0
161,Delhi,11,21.2,72,1000.1,1.5,100,2.4,3.4,Cloudy,1
162,Ahmedabad,12,33.7,42,991.8,16.8,82,3.9,10.3,Cloudy,0
163,Jaipur,12,24.3,48,1022.5,2.8,99,14.2,6.3,Cloudy,0
164,Delhi,6,39.7,90,1005.9,24.6,60,4.9,3.8,Foggy,0
165,Chennai,5,20.1,31,1024.6,10.6,15,12.3,0,Sunny,0
166,Lucknow,6,41.1,88,1017.7,11.7,66,5.1,5.0,Partly Cloudy,1
167,Lucknow,2,22.6,48,1011.8,10.3,10,5.9,0,Sunny,0
168,Bengaluru,12,23.1,82,991.7,26.2,45,9.8,5.7,Partly Cloudy,1
169,Delhi,2,30.8,76,1004.5,24.2,86,3.7,12.5,Stormy,1
170,Mumbai,4,34.5,71,1004.5,28.5,4,9.7,2.4,Sunny,0
171,Hyderabad,6,23.1,34,1013.0,16.4,50,5.7,0,Partly Cloudy,1
172,Bengaluru,8,25.6,96,994.7,23.5,90,7.5,15.5,Stormy,1
173,Jaipur,4,12.2,34,1008.1,27.1,56,15.0,7.9,Partly Cloudy,0
174,Hyderabad,12,10.2,94,1001.6,9.7,20,11.1,0,Sunny,0
175,Bengaluru,6,25.3,40,1029.4,24.0,30,12.2,6.8,Sunny,0
176,Pune,3,28.8,36,992.6,12.5,91,11.2,4.0,Cloudy,0
177,Lucknow,10,10.5,65,1015.7,14.0,87,8.5,9.5,Cloudy,1
178,Ahmedabad,3,34.1,41,1007.3,27.4,7,12.7,7.3,Sunny,0
179,Kolkata,3,13.5,53,1003.8,28.3,36,12.9,0.5,Partly Cloudy,0
180,Bengaluru,11,18.3,93,993.7,19.6,75,14.2,10.1,Cloudy,1
181,Ahmedabad,12,38.7,68,1023.7,17.3,3,2.6,8.6,Sunny,1
182,Chennai,10,22.2,28,1009.9,19.2,37,10.2,0,Partly Cloudy,0
183,Chennai,11,21.8,83,992.9,2.7,56,7.1,0,Partly Cloudy,1
184,Hyderabad,12,41.6,69,1029.0,4.8,47,8.5,1.5,Partly Cloudy,1
185,Chennai,8,12.2,82,999.9,3.8,37,14.3,3.9,Partly Cloudy,0
186,Bengaluru,6,39.7,65,997.6,5.6,65,7.8,0,Partly Cloudy,0
187,Jaipur,1,11.1,75,1010.2,29.0,27,9.4,4.4,Sunny,0
188,Jaipur,5,26.2,38,1007.2,26.6,93,6.4,4.2,Cloudy,1
189,Delhi,7,9.7,96,997.8,17.0,9,6.7,0,Sunny,0
190,Ahmedabad,11,28.8,41,1029.0,12.4,43,9.0,2.4,Partly Cloudy,0
191,Bengaluru,4,28.5,76,1010.0,2.3,17,11.1,2.5,Sunny,1
192,Pune,3,19.2,65,996.5,29.7,94,12.9,0,Cloudy,0
193,Pune,9,26.1,97,1002.0,24.7,47,6.0,4.5,Partly Cloudy,1
194,Delhi,10,24.1,98,999.1,2.5,61,3.8,6.3,Foggy,1
195,Ahmedabad,7,13.0,56,991.3,28.5,14,4.1,0,Sunny,0
196,Chennai,7,25.1,85,1024.9,22.3,7,11.0,2.4,Sunny,0
197,Pune,6,41.9,86,1011.0,10.1,22,7.7,0,Sunny,0
198,Kolkata,10,24.5,56,1001.2,9.7,38,11.9,0,Partly Cloudy,0
199,Jaipur,6,24.3,96,1027.3,24.1,35,5.4,0,Sunny,0
200,Lucknow,6,40.5,43,1001.6,9.3,91,2.6,0.2,Cloudy,0
201,Kolkata,12,24.3,50,1023.1,8.9,71,10.9,7.5,Cloudy,0
202,Chennai,1,30.8,92,999.0,7.8,12,7.1,5.8,Sunny,0
203,Mumbai,11,34.2,25,1028.6,29.4,20,7.0,9.9,Sunny,0
204,Chennai,5,18.9,32,1026.3,3.6,73,4.6,0,Cloudy,0
205,Delhi,3,22.2,47,1027.4,2.1,50,12.1,3.7,Partly Cloudy,0
206,Kolkata,1,8.3,97,1014.1,27.9,42,5.3,8.2,Partly Cloudy,0
207,Pune,9,24.8,42,1024.0,14.6,24,12.4,0,Sunny,0
208,Bengaluru,1,33.0,62,1012.7,23.0,22,9.7,7.6,Sunny,0
209,Lucknow,7,25.5,36,1006.0,3.8,17,7.9,1.0,Sunny,0
210,Jaipur,5,40.4,63,1013.3,17.6,33,10.3,0.3,Sunny,0
211,Delhi,11,12.0,64,996.4,20.9,90,11.9,0.4,Cloudy,0
212,Hyderabad,10,15.5,42,1009.1,14.2,77,6.5,0,Cloudy,0
213,Jaipur,9,35.3,52,1020.5,20.7,76,13.3,7.7,Cloudy,0
214,Mumbai,10,11.8,95,1026.1,6.9,68,3.5,5.7,Foggy,1
215,Pune,8,12.0,51,1018.7,15.2,65,7.5,5.5,Partly Cloudy,1
216,Ahmedabad,1,27.0,64,1018.9,12.5,0,11.6,1.4,Sunny,0
217,Delhi,7,19.7,33,1011.6,2.7,8,14.8,0,Sunny,0
218,Bengaluru,11,41.3,78,1005.0,26.8,57,13.2,3.7,Partly Cloudy,0
219,Lucknow,2,31.2,94,995.3,25.9,15,3.9,0,Foggy,0
220,Chennai,1,33.7,63,1008.5,21.9,54,8.7,0,Partly Cloudy,0
221,Chennai,8,19.8,60,997.5,26.4,97,3.0,4.9,Cloudy,0
222,Delhi,4,15.0,37,1013.8,13.9,86,11.0,0,Cloudy,1
223,Delhi,7,22.9,94,998.7,26.0,7,3.4,4.1,Foggy,0
224,Ahmedabad,6,27.6,66,999.5,26.4,84,8.5,2.9,Cloudy,1
225,Kolkata,1,26.9,47,1015.0,13.4,63,2.1,0,Partly Cloudy,1
226,Pune,6,31.7,77,996.0,11.9,96,8.8,9.0,Cloudy,1
227,Chennai,5,37.2,43,1022.2,27.5,71,7.1,0,Cloudy,0
228,Kolkata,4,19.2,35,1026.9,25.6,11,8.7,3.6,Sunny,0
229,Delhi,5,20.8,30,1024.9,6.5,97,9.4,1.3,Cloudy,1
230,Hyderabad,5,40.5,26,998.5,6.5,94,3.1,0,Cloudy,0
231,Jaipur,4,31.7,51,1005.9,7.9,41,12.0,0,Partly Cloudy,0
232,Kolkata,6,25.4,88,1008.6,24.3,92,7.8,7.2,Cloudy,0
233,Chennai,6,18.6,30,1012.5,7.4,18,1.7,0,Sunny,0
234,Kolkata,3,14.7,54,1005.2,25.2,63,8.9,0.8,Partly Cloudy,0
235,Hyderabad,5,34.0,87,1028.7,19.6,62,7.7,2.5,Partly Cloudy,1
236,Pune,8,14.3,94,1029.6,28.8,67,2.0,0,Foggy,0
237,Delhi,1,22.0,54,992.7,5.4,27,8.3,0,Sunny,0
238,Ahmedabad,8,30.4,27,990.3,17.0,1,1.7,5.5,Sunny,0
239,Pune,5,8.6,80,1022.2,27.4,13,13.9,0,Sunny,0
240,Kolkata,6,17.1,75,993.2,28.8,58,9.1,2.4,Partly Cloudy,0
241,Chennai,5,31.3,35,1016.1,25.9,97,1.9,0,Cloudy,0
242,Delhi,12,13.8,88,1023.8,19.7,42,9.1,3.2,Partly Cloudy,0
243,Mumbai,9,39.3,54,998.5,26.2,72,7.9,4.9,Cloudy,0
244,Pune,10,30.4,47,1027.2,10.1,26,9.4,1.1,Sunny,0
245,Lucknow,2,18.2,97,999.6,25.2,49,10.6,0,Partly Cloudy,0
246,Mumbai,9,33.3,69,992.1,13.7,9,6.1,0,Sunny,0
247,Ahmedabad,7,40.9,66,991.2,8.9,57,8.1,0,Partly Cloudy,1
248,Ahmedabad,11,20.9,62,1021.9,21.7,10,5.1,9.9,Sunny,1
249,Bengaluru,12,21.2,71,994.3,1.2,39,7.5,0.7,Partly Cloudy,1
250,Lucknow,8,26.9,90,1006.3,1.8,45,9.0,0,Partly Cloudy,0
251,Hyderabad,7,8.4,77,1005.5,3.5,71,13.7,9.5,Cloudy,1
252,Lucknow,3,12.7,63,1000.7,5.2,21,7.4,0,Sunny,0
253,Jaipur,2,20.3,56,1018.8,15.4,78,4.1,6.3,Cloudy,0
254,Hyderabad,10,20.9,67,1007.6,13.5,83,14.7,5.7,Cloudy,1
255,Hyderabad,10,40.2,50,1009.2,6.2,50,14.6,0,Partly Cloudy,0
256,Ahmedabad,4,19.1,60,1022.7,12.4,14,14.1,7.9,Sunny,1
257,Pune,3,31.2,95,991.1,22.1,90,4.3,5.8,Foggy,1
258,Lucknow,11,25.0,63,999.7,20.1,91,7.2,0,Cloudy,1
259,Jaipur,10,24.3,76,1011.4,27.8,88,7.1,15.8,Rainy,1
260,Chennai,11,30.6,46,1015.9,2.3,82,10.6,6.0,Cloudy,1
261,Hyderabad,7,11.6,37,1000.3,15.8,66,9.0,1.7,Partly Cloudy,0
262,Jaipur,11,28.0,89,996.0,29.9,61,2.9,0,Foggy,1
263,Mumbai,2,36.3,43,1003.9,10.9,100,4.3,0,Cloudy,1
264,Jaipur,6,10.3,30,1022.4,4.3,43,10.2,1.1,Partly Cloudy,0
265,Bengaluru,12,16.3,47,1012.1,10.6,54,14.4,1.1,Partly Cloudy,1
266,Lucknow,7,9.0,50,1008.0,13.5,0,11.0,5.6,Sunny,1
267,Mumbai,10,11.5,93,997.5,10.5,58,3.0,0.2,Foggy,0
268,Hyderabad,10,21.2,75,1013.5,11.1,58,9.8,0,Partly Cloudy,0
269,Kolkata,10,28.1,42,1002.5,7.9,14,4.0,0,Sunny,0
270,Bengaluru,10,21.0,48,1009.5,16.6,82,14.1,0,Cloudy,1
271,Bengaluru,8,17.8,48,1002.6,14.1,6,13.2,6.0,Sunny,1
272,Lucknow,9,25.2,88,1006.4,15.3,90,12.8,1.3,Cloudy,1
273,Mumbai,10,9.0,53,1001.7,9.0,68,5.4,4.2,Partly Cloudy,0
274,Jaipur,9,25.4,98,994.6,23.5,46,8.8,0,Partly Cloudy,0
275,Jaipur,9,15.4,79,994.1,25.1,96,4.8,3.9,Cloudy,1
276,Mumbai,8,37.4,40,1021.0,7.9,94,9.4,2.1,Cloudy,1
277,Ahmedabad,11,22.6,42,1021.4,24.6,7,9.2,0,Sunny,1
278,Kolkata,5,27.5,90,1029.4,20.7,12,3.3,0,Foggy,0
279,Lucknow,1,41.7,41,1018.1,4.8,18,11.1,4.5,Sunny,0
280,Jaipur,3,27.6,59,1015.1,11.9,9,10.1,0,Sunny,0
281,Mumbai,7,25.5,60,1017.8,26.4,58,14.3,2.8,Partly Cloudy,0
282,Mumbai,12,41.1,70,1024.0,24.1,50,4.4,0.8,Partly Cloudy,1
283,Chennai,8,17.1,61,1003.5,17.8,72,13.0,5.5,Cloudy,0
284,Delhi,2,29.3,83,990.7,28.0,20,7.5,0,Sunny,1
285,Lucknow,4,41.9,41,1025.3,9.8,35,2.8,0,Sunny,0
286,Bengaluru,1,21.5,64,1019.0,22.9,54,10.3,2.1,Partly Cloudy,0
287,Delhi,4,24.2,41,1013.7,16.1,56,1.6,0,Partly Cloudy,0
288,Lucknow,12,12.5,34,999.2,3.6,13,2.9,0,Sunny,0
289,Kolkata,3,21.0,42,1015.7,20.6,8,8.7,7.7,Sunny,0
290,Chennai,11,33.4,77,1014.6,13.8,27,2.7,0.9,Sunny,1
291,Mumbai,10,32.8,69,1028.5,10.1,17,4.8,0,Sunny,0
292,Ahmedabad,5,34.5,28,1023.9,20.1,38,4.3,0,Partly Cloudy,0
293,Chennai,12,21.3,31,1021.4,24.0,30,8.2,5.0,Sunny,0
294,Pune,1,41.6,65,995.3,26.0,72,7.2,6.8,Cloudy,0
295,Bengaluru,8,40.5,34,990.7,3.0,33,4.4,11.3,Sunny,0
296,Kolkata,11,32.2,78,1006.9,12.7,81,8.7,0,Cloudy,0
297,Kolkata,2,18.5,90,1026.8,29.3,19,8.7,0,Sunny,0
298,Mumbai,5,31.8,55,992.3,3.5,55,3.1,5.0,Partly Cloudy,0
299,Delhi,5,30.6,47,994.8,21.5,89,1.7,0,Cloudy,0
300,Kolkata,3,20.6,59,1019.3,4.4,3,6.0,0.6,Sunny,0
301,Pune,2,16.9,98,1015.1,15.4,65,6.4,0,Partly Cloudy,1
302,Kolkata,2,38.4,39,999.1,15.8,5,13.1,0.5,Sunny,1
303,Delhi,8,20.4,44,997.2,28.8,4,9.0,7.5,Sunny,0
304,Hyderabad,4,22.2,65,1000.9,3.3,47,3.1,0,Partly Cloudy,0
305,Delhi,3,15.6,91,1029.3,28.7,8,13.3,6.2,Sunny,1
306,Mumbai,9,23.5,72,998.0,17.4,38,11.5,0,Partly Cloudy,1
307,Hyderabad,10,41.0,50,1019.3,16.9,31,3.5,1.5,Sunny,0
308,Delhi,6,8.0,73,1024.0,22.1,13,4.3,0.0,Sunny,0
309,Lucknow,8,40.7,43,1018.5,3.7,29,13.6,0,Sunny,0
310,Mumbai,10,11.2,42,1015.5,12.4,75,9.2,2.0,Cloudy,0
311,Bengaluru,4,17.9,65,1027.0,12.4,94,5.9,0,Cloudy,0
312,Bengaluru,10,11.7,38,996.6,14.5,52,3.1,1.6,Partly Cloudy,0
313,Chennai,8,18.5,58,1024.1,3.6,87,5.6,1.1,Cloudy,1
314,Hyderabad,3,11.1,56,1028.7,12.5,6,10.6,0,Sunny,0
315,Bengaluru,1,40.4,82,1012.2,17.0,12,7.7,1.4,Sunny,1
316,Chennai,3,14.7,76,1004.9,19.3,82,2.6,0.4,Cloudy,0
317,Mumbai,1,41.9,50,1026.1,13.9,16,2.7,5.7,Sunny,1
318,Jaipur,1,13.7,98,1007.3,22.0,63,1.9,0,Foggy,0
319,Bengaluru,6,15.3,48,1001.0,13.9,19,2.0,0,Sunny,1
320,Lucknow,9,24.3,36,1001.2,5.0,25,10.2,0,Sunny,0
321,Chennai,11,41.8,94,1021.8,29.7,100,11.1,0,Cloudy,1
322,Ahmedabad,9,18.9,59,997.2,10.2,28,1.9,1.6,Sunny,0
323,Kolkata,1,35.5,85,1011.2,23.2,29,14.6,6.4,Sunny,1
324,Delhi,4,27.6,74,1004.2,25.3,22,3.9,4.8,Sunny,0
325,Hyderabad,10,9.0,70,1027.9,17.3,72,14.3,7.7,Cloudy,0
326,Pune,5,14.0,29,993.6,7.7,28,1.8,0,Sunny,0
